date,101,102,103,104,105,106,107,108,109,120,121,122,123,124,125,126,127,1,10,11,12,13,14,15,2,3,4,5,6,7,8,9,110,111,112,113,114,115,116,117,118,119
20/05/17,0 days 00:00:00.000000000,0 days 02:38:16.000000000,0 days 04:28:14.000000000,0 days 07:55:48.000000000,0 days 01:53:49.500000000,0 days 07:55:48.000000000,0 days 02:40:00.000000000,0 days 07:55:48.000000000,0 days 02:18:23.000000000,0 days 07:55:48.000000000,0 days 01:11:14.000000000,0 days 00:42:05.200000000,0 days 01:37:45.333333333,0 days 00:21:40.000000000,0 days 00:51:09.000000000,0 days 07:55:48.000000000,0 days 00:00:59.521739130,0 days 00:00:05.604651162,0 days 00:30:27.333333333,0 days 07:55:48.000000000,0 days 03:24:52.000000000,0 days 01:34:27.500000000,0 days 00:21:28.375000000,0 days 06:11:08.000000000,0 days 00:00:08.125000000,0 days 00:16:58.000000000,0 days 07:55:48.000000000,0 days 06:27:48.000000000,0 days 00:00:18.553359683,0 days 00:00:06.615384615,0 days 01:23:25.400000000,0 days 06:57:12.000000000,0 days 00:43:11.833333333,0 days 07:15:37.000000000,0 days 00:35:25.000000000,0 days 03:55:51.000000000,0 days 00:47:42.000000000,0 days 06:06:28.000000000,0 days 00:43:49.888888888,0 days 03:12:58.000000000,0 days 01:11:47.000000000,0 days 00:27:33.333333333
20/05/18,0 days 00:00:12.461538461,0 days 01:17:56.666666666,0 days 00:55:57.000000000,0 days 02:11:25.833333333,0 days 00:26:48.666666666,0 days 01:19:32.571428571,0 days 00:16:17.400000000,0 days 01:32:43.777777777,0 days 00:29:46.692307692,0 days 00:21:46.209302325,0 days 00:22:13.454545454,0 days 00:48:08.789473684,0 days 01:35:21.200000000,0 days 00:13:57.027027027,0 days 00:18:57.515151515,0 days 01:30:35.888888888,0 days 00:03:45.235294117,0 days 00:00:15.974683544,0 days 02:00:13.500000000,0 days 00:01:49.233333333,0 days 00:53:50.625000000,0 days 00:21:08.290322580,0 days 00:12:38.017241379,0 days 00:23:02.837209302,0 days 00:00:25.250000000,0 days 00:57:44.882352941,0 days 00:45:28.894736842,0 days 00:31:36.222222222,0 days 00:05:10.337349397,0 days 00:05:11.338028169,0 days 00:02:01.866666666,0 days 00:40:14.300000000,0 days 00:58:44.444444444,0 days 01:14:59.600000000,0 days 00:36:04.833333333,0 days 00:26:05.400000000,0 days 02:35:11.400000000,0 days 00:07:49.842105263,0 days 01:11:14.384615384,0 days 00:34:47.181818181,0 days 00:14:33.095890410,0 days 00:05:36.422535211
20/05/19,0 days 00:00:34.000000000,0 days 00:44:47.647058823,0 days 00:18:34.666666666,0 days 00:20:49.058823529,0 days 00:44:46.500000000,0 days 00:46:52.375000000,0 days 00:21:06.923076923,0 days 00:15:17.047619047,0 days 00:40:17.307692307,0 days 00:14:15.888888888,0 days 00:35:35.347826086,0 days 00:06:23.681159420,0 days 00:30:24.428571428,0 days 00:36:24.111111111,0 days 00:25:42.080000000,0 days 01:14:36.555555555,0 days 00:01:08.350877192,0 days 00:00:09.438356164,0 days 00:50:30.611111111,0 days 00:57:26.944444444,0 days 00:27:07.037037037,0 days 00:20:12.195121951,0 days 00:39:48.548387096,0 days 00:08:41.200000000,0 days 00:00:14.061728395,0 days 00:03:33.326086956,0 days 00:18:38.555555555,0 days 00:09:33.340909090,0 days 00:05:09.206896551,0 days 00:08:40.945205479,0 days 00:11:11.104651162,0 days 00:12:45.846153846,0 days 03:18:54.500000000,0 days 01:20:44.222222222,0 days 02:12:53.714285714,0 days 01:28:13.583333333,0 days 00:09:59.461538461,0 days 00:02:35.351351351,0 days 00:16:34.185185185,0 days 00:57:03.428571428,0 days 00:08:39.352000000,0 days 00:10:37.790697674
20/05/20,0 days 00:00:06.750000000,0 days 00:42:53.142857142,0 days 00:13:54.652173913,0 days 00:25:16.600000000,0 days 00:36:59.388888888,0 days 00:18:28.157894736,0 days 00:29:58.888888888,0 days 00:17:30.695652173,0 days 00:33:12.285714285,0 days 00:08:52.160305343,0 days 00:18:21.526315789,0 days 01:42:59.444444444,0 days 00:10:09.926829268,0 days 06:00:02.500000000,0 days 00:12:32.538461538,0 days 00:32:53.647058823,0 days 00:00:12.857142857,0 days 00:09:21.571428571,0 days 00:07:02.551020408,0 days 00:20:28.000000000,0 days 00:15:14.674418604,0 days 00:06:44.073394495,0 days 00:18:36.238095238,0 days 00:16:43.954545454,0 days 00:04:29.940397350,0 days 00:53:45.571428571,0 days 00:07:24.551724137,0 days 00:51:07.545454545,0 days 00:06:50.623188405,0 days 00:03:53.336363636,0 days 00:02:05.006993006,0 days 00:15:57.020000000,0 days 00:38:34.200000000,0 days 01:23:19.363636363,0 days 00:56:41.142857142,0 days 00:54:17.937500000,0 days 02:15:11.571428571,0 days 00:28:51.909090909,0 days 00:47:30.272727272,0 days 00:51:30.761904761,0 days 00:17:03.657142857,0 days 00:15:59.155555555
20/05/21,0 days 00:00:00.000000000,0 days 00:34:53.307692307,0 days 00:46:53.000000000,0 days 01:06:19.000000000,0 days 03:07:38.500000000,0 days 02:30:04.500000000,0 days 01:54:51.800000000,0 days 01:20:14.571428571,0 days 00:02:05.000000000,0 days 00:05:31.445783132,0 days 02:18:53.285714285,0 days 00:05:02.916666666,0 days 01:19:17.600000000,0 days 00:16:46.333333333,0 days 01:38:06.333333333,0 days 02:40:27.000000000,0 days 00:04:11.153846153,0 days 00:00:01.666666666,0 days 00:53:07.500000000,0 days 00:42:25.111111111,0 days 01:49:43.000000000,0 days 01:27:54.714285714,0 days 00:05:40.480392156,0 days 00:03:35.976190476,0 days 00:00:16.600000000,0 days 00:13:39.709677419,0 days 00:34:43.812500000,0 days 18:40:43.000000000,0 days 23:58:18.000000000,0 days 00:00:01.000000000,0 days 00:46:35.625000000,0 days 00:02:14.250000000,0 days 23:58:18.000000000,0 days 00:45:27.857142857,0 days 04:24:11.000000000,0 days 21:51:49.000000000,0 days 04:12:19.666666666,0 days 00:44:21.187500000,0 days 00:50:52.000000000,0 days 04:23:00.000000000,0 days 00:12:22.774193548,0 days 00:39:05.680000000
20/05/22,0 days 00:02:10.500000000,0 days 00:36:54.423076923,0 days 00:45:51.545454545,0 days 00:54:32.727272727,0 days 00:21:18.363636363,0 days 00:22:33.117647058,0 days 01:04:47.000000000,0 days 00:27:32.000000000,0 days 00:19:01.043478260,0 days 00:28:24.605263157,0 days 00:22:14.129032258,0 days 00:26:37.105263157,0 days 00:25:51.000000000,0 days 00:39:02.700000000,0 days 01:16:31.833333333,0 days 00:45:25.454545454,0 days 01:04:37.000000000,0 days 00:02:52.000000000,0 days 00:38:36.384615384,0 days 00:52:05.363636363,0 days 00:48:47.125000000,0 days 00:34:06.500000000,0 days 01:00:27.571428571,0 days 01:04:34.384615384,0 days 00:00:40.158536585,0 days 00:10:08.150943396,0 days 02:38:11.750000000,0 days 00:42:56.695652173,0 days 00:25:29.527777777,0 days 00:14:06.692307692,0 days 00:20:04.920000000,0 days 00:00:18.666666666,0 days 01:18:09.214285714,0 days 02:28:12.250000000,0 days 03:11:50.333333333,0 days 02:31:05.125000000,0 days 03:22:09.200000000,0 days 00:26:56.969696969,0 days 01:44:30.200000000,0 days 00:30:36.966666666,0 days 00:29:54.869565217,0 days 00:19:50.411764705
20/05/23,0 days 00:04:02.533333333,0 days 00:20:55.913043478,0 days 00:22:33.130434782,0 days 00:33:34.000000000,0 days 02:22:07.222222222,0 days 00:39:42.857142857,0 days 01:09:20.625000000,0 days 01:53:11.000000000,0 days 00:30:33.058823529,0 days 02:33:58.166666666,0 days 00:13:01.245283018,0 days 00:09:30.125000000,0 days 00:21:28.515151515,0 days 00:34:07.285714285,0 days 02:05:39.166666666,0 days 08:46:19.000000000,0 days 00:26:15.800000000,0 days 00:07:43.200000000,0 days 00:35:18.142857142,0 days 00:25:01.777777777,0 days 02:30:42.625000000,0 days 00:29:04.065217391,0 days 00:51:55.208333333,0 days 07:16:43.500000000,0 days 00:02:26.510204081,0 days 00:12:59.486842105,0 days 02:24:07.000000000,0 days 02:00:17.444444444,0 days 01:30:52.090909090,0 days 00:00:42.789062500,0 days 00:00:26.000000000,0 days 00:11:42.666666666,0 days 01:58:42.333333333,0 days 01:08:09.111111111,0 days 00:48:12.769230769,0 days 01:24:45.400000000,0 days 01:21:59.666666666,0 days 01:18:09.857142857,0 days 00:58:48.647058823,0 days 01:09:53.142857142,0 days 04:11:44.666666666,0 days 00:40:39.909090909
20/05/24,0 days 00:00:10.750000000,0 days 00:26:28.625000000,0 days 01:31:00.200000000,0 days 00:42:16.647058823,0 days 01:34:27.222222222,0 days 03:03:31.000000000,0 days 00:45:50.142857142,0 days 02:24:29.750000000,0 days 05:00:44.000000000,0 days 00:29:52.291666666,0 days 02:22:06.285714285,0 days 02:34:09.000000000,0 days 01:07:15.416666666,0 days 00:55:07.400000000,0 days 01:24:52.200000000,0 days 01:18:52.300000000,0 days 00:16:20.333333333,0 days 00:00:02.000000000,0 days 01:55:02.100000000,0 days 00:05:27.090322580,0 days 00:41:10.250000000,0 days 01:22:31.187500000,0 days 00:37:36.114285714,0 days 01:28:11.692307692,0 days 00:00:51.069767441,0 days 23:59:01.000000000,0 days 06:25:07.000000000,0 days 00:32:20.222222222,0 days 23:59:01.000000000,0 days 00:00:05.153846153,0 days 23:59:01.000000000,0 days 00:04:44.555555555,0 days 02:41:57.166666666,0 days 01:17:10.764705882,0 days 01:22:39.000000000,0 days 05:44:35.000000000,0 days 07:47:02.500000000,0 days 01:17:37.000000000,0 days 02:28:47.500000000,0 days 02:57:22.857142857,0 days 00:58:27.000000000,0 days 01:02:10.000000000
20/05/25,0 days 01:29:22.200000000,0 days 00:38:14.933333333,0 days 01:05:27.142857142,0 days 01:14:50.900000000,0 days 02:05:16.000000000,0 days 01:39:19.625000000,0 days 01:01:24.214285714,0 days 01:09:27.800000000,0 days 02:16:00.666666666,0 days 00:15:05.563636363,0 days 01:53:20.545454545,0 days 04:06:04.666666666,0 days 00:39:20.210526315,0 days 01:55:48.428571428,0 days 01:13:59.000000000,0 days 00:31:07.888888888,0 days 00:10:41.600000000,0 days 00:07:56.333333333,0 days 01:54:53.428571428,0 days 01:31:34.642857142,0 days 01:16:05.750000000,0 days 03:41:16.833333333,0 days 00:51:57.545454545,0 days 01:29:28.142857142,0 days 00:36:09.040000000,0 days 01:01:18.100000000,0 days 03:26:19.500000000,0 days 03:30:31.500000000,0 days 02:05:37.000000000,0 days 00:02:43.285714285,0 days 01:28:41.571428571,0 days 00:00:40.571428571,0 days 04:10:30.500000000,0 days 00:45:01.272727272,0 days 01:29:47.300000000,0 days 01:49:25.000000000,0 days 02:38:49.200000000,0 days 00:39:40.909090909,0 days 09:15:06.500000000,0 days 02:09:20.888888888,0 days 07:13:33.500000000,0 days 00:25:18.171428571
20/05/26,0 days 00:00:07.000000000,0 days 00:49:40.222222222,0 days 01:18:58.500000000,0 days 00:28:25.000000000,0 days 00:37:21.200000000,0 days 00:23:00.000000000,0 days 00:58:52.250000000,0 days 00:36:00.650000000,0 days 00:16:13.142857142,0 days 00:07:26.675675675,0 days 00:17:09.371428571,0 days 00:17:28.117647058,0 days 02:30:28.333333333,0 days 00:24:35.153846153,0 days 00:52:54.571428571,0 days 00:57:06.375000000,0 days 00:01:30.035714285,0 days 00:00:24.978260869,0 days 00:09:26.741935483,0 days 00:21:24.294117647,0 days 00:32:38.750000000,0 days 01:27:17.500000000,0 days 00:16:10.826086956,0 days 00:13:36.687500000,0 days 00:00:22.580645161,0 days 01:10:20.400000000,0 days 00:05:44.676190476,0 days 00:24:14.714285714,0 days 00:49:40.315789473,0 days 00:07:15.173913043,0 days 00:16:28.500000000,0 days 00:09:36.760000000,0 days 02:46:07.600000000,0 days 00:30:52.307692307,0 days 03:45:25.250000000,0 days 02:30:48.000000000,0 days 00:58:15.200000000,0 days 00:30:05.800000000,0 days 00:28:39.181818181,0 days 00:27:57.400000000,0 days 00:34:03.333333333,0 days 00:37:47.846153846
